
 yvngpopper,     ITS ONLY BEEN 6 DAYS LMAAOO,        <Channel name: kaicenat>,       2024-11-07 11:52:33.007763 

 yvngpopper,     HOW IS IT DAY 7 ITS ONLY BEEN 6 DAYS LMFAAOOO,        <Channel name: kaicenat>,       2024-11-07 11:52:56.058011 

 yvngpopper,     WWWWW,        <Channel name: kaicenat>,       2024-11-07 11:55:12.243921 

 yvngpopper,     LMFAAAOOOO,        <Channel name: kaicenat>,       2024-11-07 11:55:19.561699 

 yvngpopper,     WW 50,        <Channel name: kaicenat>,       2024-11-07 12:00:09.740851 

 yvngpopper,     YEAAHHH WAKE YALL ASS UP,        <Channel name: kaicenat>,       2024-11-07 12:00:28.274601 

 yvngpopper,     LMFAAAOOOO,        <Channel name: kaicenat>,       2024-11-07 12:01:37.290700 

 yvngpopper,     FREE MY NIGGA MILES,        <Channel name: kaicenat>,       2024-11-07 12:03:48.079210 

 yvngpopper,     SUB COUNT BROKE,        <Channel name: kaicenat>,       2024-11-07 12:37:57.172571 

 yvngpopper,     SUB COUNT BROKE IT WAS AT 921,        <Channel name: kaicenat>,       2024-11-07 12:38:15.091380 

 yvngpopper,     LMFAAAAAOOOOO,        <Channel name: kaicenat>,       2024-11-07 13:02:23.260576 

 yvngpopper,     NOW YALL KNOA WHAT WE DEAL WITH WHEN EARTHQUAKES HAPPEN,        <Channel name: kaicenat>,       2024-11-07 13:03:11.410399 

 yvngpopper,     NAH DEADASS THO,        <Channel name: kaicenat>,       2024-11-07 13:04:55.838178 

 yvngpopper,     THE EARTHQUAKE IS FIRE,        <Channel name: kaicenat>,       2024-11-07 13:05:14.765449 

 yvngpopper,     WWW 100,        <Channel name: kaicenat>,       2024-11-07 13:05:29.082983 
