
 zzoro,     taLife,        <Channel name: jasontheween>,       2024-11-07 01:46:54.116213 

 zzoro,     PIECE,        <Channel name: jasontheween>,       2024-11-07 02:05:46.266145 

 zzoro,     PIECE,        <Channel name: jasontheween>,       2024-11-07 02:07:01.715656 

 zzoro,     PIECE,        <Channel name: jasontheween>,       2024-11-07 02:07:22.262506 

 zzoro,     ICANT,        <Channel name: jasontheween>,       2024-11-07 02:07:33.509728 

 zzoro,     hanni44 ALERT,        <Channel name: jasontheween>,       2024-11-07 02:08:31.107294 

 zzoro,     bleh WIDEALERT,        <Channel name: jasontheween>,       2024-11-07 02:09:29.477753 

 zzoro,     dude i saw eth went up,        <Channel name: jasontheween>,       2024-11-07 02:12:46.231802 

 zzoro,     im at $1059,        <Channel name: jasontheween>,       2024-11-07 02:13:57.085126 

 zzoro,     from 1k,        <Channel name: jasontheween>,       2024-11-07 02:14:02.201807 

 zzoro,     W passive income,        <Channel name: jasontheween>,       2024-11-07 02:14:07.150682 
